,Last Name,First Name,Affiliation,Scopus Author ID,ORCID,Tags,Research Areas,Warnings
0,Abd-Elrahman,Khaled,University of Ottawa,36653563400,0000-0001-9724-1975,Learning Memory & Dementias,"Pharmacology, Toxicology and Pharmaceutics (all) - 16 publications;Biochemistry, Genetics and Molecular Biology (all) - 31 publications;Medicine (all) - 41 publications;",not affiliated with UBC
1,Allan,Douglas,Corning Incorporated,57194194854,,Brain Development & Neurodevelopmental Disorders,Engineering (all) - 25 publications;Materials Science (all) - 43 publications;Physics and Astronomy (all) - 75 publications;,multiple profiles; not affiliated with UBC
2,Auld,Vanessa,The University of British Columbia,7004622834,0000-0003-3976-9186,Brain Development & Neurodevelopmental Disorders,"Neuroscience (all) - 14 publications;Medicine (all) - 14 publications;Biochemistry, Genetics and Molecular Biology (all) - 66 publications;",
3,Austin,Jehannine,"University of British Columbia, Faculty of Medicine",7402093250,0000-0003-0338-7055,Mental Health & Addictions,"Neuroscience (all) - 37 publications;Biochemistry, Genetics and Molecular Biology (all) - 47 publications;Medicine (all) - 263 publications;",not affiliated with UBC
4,Babul,Shelina,BC Children's Hospital Research Institute,6506673405,0000-0002-0227-2574,Brain Injury & Repair,Social Sciences (all) - 8 publications;Health Professions  (all) - 11 publications;Medicine (all) - 95 publications;,multiple profiles; 
5,Bamji,Shernaz ,Djavad Mowafaghian Centre for Brain Health,7005627810,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 19 publications;Neuroscience (all) - 26 publications;Biochemistry, Genetics and Molecular Biology (all) - 37 publications;",
6,Barker,Phil,Trinity College Dublin,7402080513,,Learning Memory & Dementias,Health Professions  (all) - 22 publications;Medicine (all) - 85 publications;Nursing (all) - 157 publications;,multiple profiles; not affiliated with UBC
7,Barnes,Steven,David Geffen School of Medicine at UCLA,7202713458,,Mental Health & Addictions,"Medicine (all) - 29 publications;Neuroscience (all) - 60 publications;Biochemistry, Genetics and Molecular Biology (all) - 70 publications;",multiple profiles; not affiliated with UBC
8,Barr,Alasdair ,The University of British Columbia,35474239200,0000-0002-3407-1574,Mental Health & Addictions,"Pharmacology, Toxicology and Pharmaceutics (all) - 67 publications;Neuroscience (all) - 122 publications;Medicine (all) - 295 publications;",
9,Barton,Jason ,Bethel University,13612305800,,Sensory Motor Systems & Movement Disorders,Psychology (all) - 146 publications;Medicine (all) - 245 publications;Neuroscience (all) - 291 publications;,multiple profiles; not affiliated with UBC
