,gs publications,scival publications,GS ONLY publications,SCIVAL ONLY publications,shared publications
0,Coexpression analysis of human genes across many microarray data sets,Open science in play and in tension with patent protections,analysis of gene networks in schizophrenia and the challenge of multifunctionality,coexpresion analysis of human genes across many microarray data sets,whole genome sequencing and variant discovery in the aspire autism spectrum disorder cohort
1,Molecular and functional heterogeneity of hyperpolarization-activated pacemaker channels in the mouse CNS,The Canadian Open Neuroscience Platform-An open science framework for the neuroscience community,a critical assessment of single cell transcriptomes sampled following patch clamp electrophysiology,the impact of multifunctional genes on guilt by association analysis,altered hippocampal transcript profile accompanies an age related spatial memory deficit in mice
2,Altered brain microRNA biogenesis contributes to phenotypic deficits in a 22q11-deletion mouse model,Characterizing the targets of transcription regulators by aggregating ChIP-seq and perturbation expression data sets,ps73 changes in neuronal densities underlying transcriptional alterations in psychiatric patients,promoter region based classification of genes,untangling the effects of cellular composition on coexpression analysis
3,Zac1 regulates an imprinted gene network critically involved in the control of embryonic growth,In silico discovery of small molecules for efficient stem cell differentiation into definitive endoderm,cutting edge stat6 serves as a positive and,whose sample is it anyway widespread misannotation of samples in transcriptomics studies version 1 referees 2 approved,learning gene functional classifications from multiple data types
4,Gene functional classification from heterogeneous data,ModelMatcher: A scientist-centric online platform to facilitate collaborations between stakeholders of rare and undiagnosed disease research,analysis of gene expression profiles in schizophrenia using a large combined cohort,corrigendum to cortical functional connectivity decodes subconscious task irrelevant threat related emotion processing neuroimage 61 4 2012 1355 1363 s1053811912003321 10 1016 j neuroimage 2012 03 051,experimental comparison and cross validation of the affymetrix and illumina gene expression analysis platforms
5,Matrix2png: a utility for visualizing matrix data,Evaluation of connectivity map shows limited reproducibility in drug repositioning,coexpression based gene discovery in the post synaptic proteome,transcriptomic responses to high water temperature in two species of pacific salmon,using the gene ontology for microarray data mining a comparison of methods and application to age effects in human prefrontal cortex
6,An expanded evaluation of protein function prediction methods shows an improvement in accuracy,“Guilt by association” is not competitive with genetic association for identifying autism risk genes,basal and apical synapses of ca1 pyramidal cells employ different,gene expression in juvenile arthritis and spondyloarthropathy pro angiogenic elr sup sup chemokine genes relate to course of arthritis,using predictive specificity to determine when gene set analysis is biologically meaningful
7,De novo mutations in schizophrenia implicate chromatin remodeling and support a genetic overlap with autism and intellectual disability,Experiment level curation of transcriptional regulatory interactions in neurodevelopment,drosophila mutations affecting electrical excitability,,network analyses reveal pervasive functional regulation between proteases in the human protease web
8,ErmineJ: tool for functional analysis of gene expression data sets,Estimating and Correcting for Off-Target Cellular Contamination in Brain Cell Type Specific RNA-Seq Data,coexpression analysis of human genes across many microarray data sets,,gene expression signatures in polyarticular juvenile idiopathic arthritis demonstrate disease heterogeneity and offer a molecular classification of disease subsets
9,Learning gene functional classifications from multiple data types,"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability",corrigendum to cortical functional connectivity decodes subconscious task irrelevant threat related emotion processing neuroimage 61 4 2012 1355 1363,,gene expression signatures in chronic and aggressive periodontitis a pilot study
10,Analysis of strain and regional variation in gene expression in mouse brain,Curation of over 10 000 transcriptomic studies to enable data reuse,nar molecular biology database collection entry number 1476,,the canadian open neuroscience platform an open science framework for the neuroscience community
11,Activation of MAPK pathways links LMNA mutations to cardiomyopathy in Emery-Dreifuss muscular dystrophy,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,crosslaboratory comparison of human postmortem brain expression profiling data,,can we predict protein from mrna levels
12,Experimental comparison and cross-validation of the Affymetrix and Illumina gene expression analysis platforms,A low affinity cis-regulatory bmp response element restricts target gene activation to subsets of drosophila neurons.,data from assessing identity redundancy and confounds in gene ontology annotations over time,,mirna and mirna target genes in copy number variations occurring in individuals with intellectual disability
13,Inducible enhancement of memory storage and synaptic plasticity in transgenic mice expressing an inhibitor of ATF4 (CREB-2) and C/EBP proteins,Untangling the effects of cellular composition on coexpression analysis,large scale network and machine learning analyses reveal functional connectivity between temporal pole and hippocampus is reduced in social anxiety disorder and increases,,sex genes for genomic analysis in human brain internal controls for comparison of probe level data extraction
14,miR-1202 is a primate-specific and brain-enriched microRNA involved in major depression and antidepressant treatment,Single-nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons,database editorial board 2010,,sharing and reusing gene expression profiling data in neuroscience
15,Using the gene ontology for microarray data mining: a comparison of methods and application to age effects in human prefrontal cortex,The Canadian Rare Diseases Models and Mechanisms (RDMM) Network: Connecting Understudied Genes to Model Organisms,supplemental data zac1 regulates an imprinted gene network critically involved in the control of embryonic growth,,exploring gene expression data with class scores
16,Transcriptional and behavioral interaction between 22q11. 2 orthologs modulates schizophrenia-related phenotypes in mice,Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,isdn2014_0418 dna methylation changes in fetal alcohol spectrum disorder,,prenatal alcohol exposure alters steady state and activated gene expression in the adult rat brain
17,Hierarchical model of gene regulation by transforming growth factor β,VariCarta: A Comprehensive Database of Harmonized Genomic Variants Found in Autism Spectrum Disorder Sequencing Studies,gene ontology matrices with descriptions ids etc from guilt by association is the exception rather than the rule in gene networks gillis j and pavlidis p 2012 plos,,using text mining to link journal articles to neuroanatomical databases
18,Single-nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons,Mega-analysis of gene expression in mouse models of Alzheimer’S disease,whose sample is it anyway widespread misannotation of samples in transcriptomics studies,,gene expression profiling of depression and suicide in human prefrontal cortex
19,“Guilt by association” is the exception rather than the rule in gene networks,Transcriptomic correlates of electrophysiological and morphological diversity within and across excitatory and inhibitory neuron classes,changes in neuronal densities underlying transcriptional alterations in psychiatric patients,,activation of mapk in hearts of emd null mice similarities between mouse models of x linked and autosomal dominant emery dreifuss muscular dystrophy
20,Molecular aging in human prefrontal cortex is selective and continuous throughout adult life,Whole genome sequencing and variant discovery in the ASPIRE autism spectrum disorder cohort,differential gene expression in schizophrenia and bipolar disorder in the corpus callosum,,analysis of strain and regional variation in gene expression in mouse brain
21,Classification and subtype prediction of adult soft tissue sarcoma by functional genomics,Predictability of human differential gene expression,transcriptomic responses to high water temperature in two species of p acific salmon,,decoding unattended fearful faces with whole brain correlations an approach to identify condition dependent large scale functional connectivity
22,Gene ontology term overlap as a measure of gene functional similarity,Differential coexpression in human tissues and the confounding effect of mean expression levels,large scale analysis of brain wide electrophysiological diversity reveals novel characterization of mammalian neuron types,,experiment level curation of transcriptional regulatory interactions in neurodevelopment
23,Genomic signatures predict migration and spawning failure in wild Canadian salmon,Transcriptomic Evidence for Alterations in Astrocytes and Parvalbumin Interneurons in Subjects With Bipolar Disorder and Schizophrenia,supplementary information for,,modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons
24,"The Drosophila easily shocked gene: a mutation in a phospholipid synthetic pathway causes seizure, neuronal failure, and paralysis",C-terminal truncation of IFN-γ inhibits proinflammatory macrophage responses and is deficient in autoimmune disease,gist support vector machine and kernel principal components analysis software toolkit,,guilt by association is the exception rather than the rule in gene networks
25,Pair recordings reveal all-silent synaptic connections and the postsynaptic expression of long-term potentiation,Assessing Transcriptome Quality in Patch-Seq Datasets,programming of neural gene expression response to adjuvant induced arthritis by prenatal diet in a rat model of prenatal alcohol exposure,,large scale analysis of gene expression and connectivity in the rodent brain insights through data integration
26,The Impact of Multifunctional Genes on,Systematic evaluation of isoform function in literature reports of alternative splicing,systematic phenomics analysis of asd associated genes reveals shared functions and parallel networks underlying reversible impairments in habituation learning,,the canadian rare diseases models and mechanisms rdmm network connecting understudied genes to model organisms
27,Classification of clear-cell sarcoma as a subtype of melanoma by genomic profiling,Monitoring changes in the Gene Ontology and their impact on genomic data analysis,gene expression in lens epithelial cell lines conditioned to survive h2o2 or tbhp,,mega analysis of gene expression in mouse models of alzheimer s disease
28,Subtype‐specific peripheral blood gene expression profiles in recent‐onset juvenile idiopathic arthritis,Modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons,application and evaluation of automated methods to extract brain connectivity statements from free text,,estimating and correcting for off target cellular contamination in brain cell type specific rna seq data
29,The effect of replication on gene expression microarray experiments,DNA methylation as a predictor of fetal alcohol spectrum disorder,the impact of multifunctional genes on,,dna methylation signature of human fetal alcohol spectrum disorder
