sv_name,gs_name,gs_count,gs_duplicates_count,sv_count,sv_duplicates_count,gs_only_count,sv_only_count,shared_count,sanity check (SV),sanity check (GS),gs_coauthors,sv_coauthors,gs_betweenness_centrality,sv_betweenness_centrality,gs_betweenness_centrality_normed,sv_betweenness_centrality_normed,gs_degree,sv_degree,gs_only_pubs,sv_only_pubs,shared_pubs,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy H. Murphy,Tim H. Murphy,237,1,185,4,66,11,170,0,0,"{'Andy Y. Shih': 9, 'Lynn A Raymond': 18, 'Craig E. Brown': 6, 'Snutch': 1, 'Yu Tian Wang': 4, 'Brian MacVicar': 3, 'Wolfram Tetzlaff': 2, 'Helge Rhodin': 2, 'Peter Cripton': 1, 'Mark S. Cembrowski': 1}","{'Lynn A. Raymond': 17, 'Helge Rhodin': 3, 'Brian Archibald MacVicar': 2, 'Yutian Wang': 4, 'Wolfram G. Tetzlaff': 2, 'Craig E. Brown': 6, 'Andy Y. Shih': 9, 'Terrance P. Snutch': 1}",580.220333,230.1341153,0.371936111,0.147521869,10,8,,,,,,,
,,,,,,,,,0,0,,,,,,,,,,,,,,,
Annie Vogel-Ciernia,Annie Vogel Ciernia,44,0,28,0,16,0,28,0,0,{'Brian MacVicar': 1},{},1.75,0,0.001121795,0,1,0,,,,,,,
,,,,,,,,,0,0,,,,,,,,,,,,,,,0.134158674
Brian Archibald MacVicar,Brian MacVicar,218,3,167,1,60,12,154,0,-1,"{'Tim H. Murphy': 3, 'Annie Vogel Ciernia': 1, 'Snutch': 8, 'Anthony Phillips': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 1, 'Silke Appel-Cresswell': 1, 'Leigh Anne Swayne': 1, 'Fabio MV Rossi': 1, 'Ian Mackenzie': 1}","{'Silke Appel-Cresswell': 1, 'Terrance P. Snutch': 5, 'Timothy H. Murphy': 2, 'Leigh Anne Swayne': 1, 'Shernaz X. Bamji': 1, 'Yutian Wang': 2, 'Anthony G. Phillips': 1}",282.0581912,89.3546197,0.180806533,0.057278602,10,7,,,,,,,
,,,,,,,,,0,0,,,,,,,,,,,,,,,0.093458394
Fidel Vila-Rodriguez,Fidel Vila-Rodriguez,264,2,161,0,116,15,146,0,0,"{'Z. Jane Wang': 1, 'Sophia Frangou': 6, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Ian Mackenzie': 1, 'Todd S. Woodward': 1}","{'Sophia Frangou': 5, 'Ian R. Mackenzie': 1, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Z. Jane Wang': 1}",151.1127656,65.95487047,0.096867157,0.042278763,6,5,,,,,,,
,,,,,,,,,0,0,,,,,,,,,,,,,,,
Shernaz X. Bamji,Shernaz Bamji,61,0,44,0,17,0,44,0,0,"{'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Lynn A Raymond': 2, 'Snutch': 1, 'Paul Pavlidis': 2, 'Kurt Haas': 6, 'Rankin Catharine H': 2, 'Anthony Phillips': 1}","{'Kurt Z. Haas': 3, 'Lynn A. Raymond': 2, 'Paul Pavlidis': 1, 'Catharine H. Rankin': 1, 'Terrance P. Snutch': 1, 'Anthony G. Phillips': 1, 'Brian Archibald MacVicar': 1, 'Yutian Wang': 1, 'Ian R. Mackenzie': 1}",274.043061,104.2346072,0.175668629,0.066817056,8,9,,,,,,,
