sv_name,sv_id,gs_name,gs_id,gs_count,gs_duplicates_count,sv_count,sv_duplicates_count,gs_only_count,sv_only_count,shared_count,gs_coauthors,sv_coauthors,gs_betweenness_centrality,sv_betweenness_centrality,gs_betweenness_centrality_normed,sv_betweenness_centrality_normed,gs_degree,sv_degree,gs_strength,sv_strength,gs_only_pubs,sv_only_pubs,shared_pubs
Timothy H. Murphy,,Tim H. Murphy,,237,1,185,4,66,11,170,"{'Andy Y. Shih': 9, 'Lynn A Raymond': 18, 'Craig E. Brown': 6, 'Jeffrey LeDue': 40, 'Snutch': 1, 'Yu Tian Wang': 4, 'Brian MacVicar': 3, 'Wolfram Tetzlaff': 2, 'Helge Rhodin': 2, 'Peter Cripton': 1, 'Mark S. Cembrowski': 1}","{'Lynn A. Raymond': 17, 'Helge Rhodin': 3, 'Brian A. MacVicar': 2, 'YuTian Wang': 4, 'Wolfram G. Tetzlaff': 2, 'Craig E. Brown': 6, 'Andy Y. Shih': 9, 'Terrance P. Snutch': 1}",564.7692792765695,290.8394280009211,0.28523700973564114,0.1468886000004652,11.0,8.0,87.0,44.0,,,
Annie Vogel Ciernia,,Annie Vogel Ciernia,,44,0,28,0,16,0,28,{'Brian MacVicar': 1},{},1.75,0.0,0.0008838383838383839,0.0,1.0,0.0,1.0,0.0,,,
Brian A. MacVicar,,Brian MacVicar,,218,3,167,1,60,12,154,"{'Tim H. Murphy': 3, 'Jeffrey LeDue': 13, 'Annie Vogel Ciernia': 1, 'Snutch': 9, 'Anthony Phillips': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 1, 'Silke Appel-Cresswell': 1, 'Leigh Anne Swayne': 1, 'Fabio MV Rossi': 1, 'Ian Mackenzie': 1}","{'Silke Appel-Cresswell': 1, 'Terrance P. Snutch': 5, 'Timothy H. Murphy': 2, 'Leigh Anne Swayne': 1, 'Shernaz X. Bamji': 1, 'YuTian Wang': 2, 'Anthony G. Phillips': 1}",706.0001815241071,101.41966890704848,0.35656574824449855,0.051222055003559835,11.0,7.0,33.0,13.0,,,
Fidel Vila-Rodriguez,,Fidel Vila-Rodriguez,,264,2,161,0,116,15,146,"{'Z. Jane Wang': 1, 'Sophia Frangou': 6, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Ian Mackenzie': 1, 'Todd S. Woodward': 1}","{'Sophia Frangou': 5, 'Ian Mackenzie': 1, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Z. Jane Wang': 1}",103.06299114681812,66.57458639290323,0.052052015730716224,0.03362352848126426,6.0,5.0,12.0,10.0,,,
Shernaz X. Bamji,,Shernaz Bamji,,61,0,44,0,17,0,44,"{'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Lynn A Raymond': 2, 'Snutch': 1, 'Paul Pavlidis': 2, 'Kurt Haas': 6, 'Rankin Catharine H': 2, 'Anthony Phillips': 1}","{'Kurt Haas': 3, 'Lynn A. Raymond': 2, 'Paul Pavlidis': 1, 'Catharine Rankin': 1, 'Terrance P. Snutch': 1, 'Anthony G. Phillips': 1, 'Brian A. MacVicar': 1, 'YuTian Wang': 1, 'Ian Mackenzie': 1}",276.6826193685232,106.83574863766556,0.1397386966507693,0.0539574488069018,8.0,9.0,16.0,12.0,,,
Lara A. Boyd,,Lara Boyd,,357,3,217,5,150,8,204,"{'Martin J. McKeown': 2, 'A Jon Stoessl OR jon Stoessl': 2, 'Silke Appel-Cresswell': 1, 'Vesna Sossi': 2, 'Todd S. Woodward': 3, 'Liisa Galea': 1}","{'Liisa A. M. Galea': 1, 'Silke Appel-Cresswell': 1, 'Martin McKeown': 2, 'A. Jon Stoessl': 1, 'Vesna Sossi': 1, 'Todd Stephen Woodward': 2}",47.48827950711118,53.649792351286365,0.02398397954904605,0.0270958547228719,6.0,6.0,11.0,8.0,,,
Paul Pavlidis,,Paul Pavlidis,,245,5,158,1,89,6,151,"{'Shernaz Bamji': 2, 'Kurt Haas': 6, 'Rankin Catharine H': 6, 'Snutch': 1, 'Sophia Frangou': 1, 'Vesna Sossi': 1}","{'Kurt Haas': 3, 'Shernaz X. Bamji': 1, 'Catharine Rankin': 3}",89.74069973846991,0.0,0.04532358572649996,0.0,6.0,3.0,17.0,7.0,,,
Martin McKeown,,Martin J. McKeown,,369,3,260,2,119,11,247,"{'Lara Boyd': 2, 'A Jon Stoessl OR jon Stoessl': 29, 'Silke Appel-Cresswell': 33, 'Vesna Sossi': 21, 'Z. Jane Wang': 76, 'Brian D. Fisher': 1, 'Peyman Servati': 1, 'Catharine A. Winstanley': 1}","{'Z. Jane Wang': 83, 'Vesna Sossi': 11, 'A. Jon Stoessl': 16, 'Silke Appel-Cresswell': 14, 'Lara A. Boyd': 2, 'Peyman Servati': 1}",203.69190394157093,33.20634692370621,0.10287469896038935,0.016770882284700105,8.0,6.0,164.0,127.0,,,
A. Jon Stoessl,,A Jon Stoessl OR jon Stoessl,,449,7,305,3,175,37,265,"{'Lara Boyd': 2, 'Martin J. McKeown': 29, 'Silke Appel-Cresswell': 25, 'Vesna Sossi': 134, 'Catharine A. Winstanley': 3, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Snutch': 1}","{'Martin McKeown': 16, 'Vesna Sossi': 73, 'Lara A. Boyd': 1, 'Silke Appel-Cresswell': 14, 'Ian Mackenzie': 2, 'Anthony G. Phillips': 2, 'Terrance P. Snutch': 1}",254.1696836996961,101.1913761069169,0.12836852712105865,0.051106755609553994,8.0,7.0,202.0,109.0,,,
P. A. Cripton,,Peter Cripton,,284,3,179,2,124,20,157,"{'Tim H. Murphy': 1, 'Mark S. Cembrowski': 1, 'Jeffrey LeDue': 1, 'Wolfram Tetzlaff': 14, 'Catharine A. Winstanley': 1}",{'Wolfram G. Tetzlaff': 6},49.90328899595916,0.0,0.025203681311090485,0.0,5.0,1.0,18.0,6.0,,,
Jason S. Snyder,,Jason S. Snyder,,39,0,37,0,3,1,36,{'Fidel Vila-Rodriguez': 2},{'Fidel Vila-Rodriguez': 2},0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,,,
Wolfram G. Tetzlaff,,Wolfram Tetzlaff,,315,5,206,0,122,18,188,"{'Tim H. Murphy': 2, 'Peter Cripton': 14, 'Fabio MV Rossi': 1, 'A. Jane Roskams': 9, 'Silke Appel-Cresswell': 1}","{'Angela Jane I. Roskams': 9, 'P. A. Cripton': 6, 'Timothy H. Murphy': 2, 'Fabio Rossi': 1}",72.7031382723166,123.0,0.0367187567031902,0.06212121212121212,5.0,4.0,27.0,18.0,,,
