,Name,SciVal,Google Scholar
0,Timothy H. Murphy,0.18442600609267276,0.1340335850852785
1,Annie Vogel Ciernia,0.0,0.0
2,Brian A. MacVicar,0.07786022619355952,0.13540780190958446
3,Fidel Vila-Rodriguez,0.06564213564213564,0.08178011547441137
4,Shernaz X. Bamji,0.055302598635931975,0.03183163439847931
5,Lara A. Boyd,0.03341029341029341,0.017745098039215684
6,Paul Pavlidis,0.005767195767195766,0.05484162566159
7,Martin McKeown,0.013655603655603653,0.06893486687604335
8,A. Jon Stoessl,0.030672891922891923,0.02143612082114756
9,P. A. Cripton,0.0,0.019815952846255876
10,Jason S. Snyder,0.0,0.0
11,Wolfram G. Tetzlaff,0.09696969696969697,0.05650936605482061
12,Anthony G. Phillips,0.06871616038282706,0.039736506478930726
13,Catharine A. Winstanley,0.0,0.03644914569156993
14,YuTian Wang,0.06458276291609626,0.034648642438303755
15,Jeremy Keith Seamans,0.00346981721981722,0.00470429402247584
16,Terrance P. Snutch,0.035513606763606764,0.07714077135645764
17,Ian Mackenzie,0.0604166204166204,0.04095124654839449
18,Lynn A. Raymond,0.01647987814654481,0.010421138905987391
19,Kurt Haas,0.0,0.0
20,Mark S. Cembrowski,0.0,0.0
21,Fabio Rossi,0.0,0.002957351290684624
22,Angela Jane I. Roskams,0.0,0.0
23,Catharine Rankin,0.002585377585377586,0.026496713163379825
24,Michael D. Gordon,0.0,0.0
25,Leonid Sigal,0.0,0.0
26,Z. Jane Wang,0.06573741073741074,0.0488978613978614
27,Peyman Servati,0.0,0.0
28,Liisa A. M. Galea,0.0038720538720538713,0.00921304548755529
29,Sophia Frangou,0.00430976430976431,0.12378405907817672
30,Silke Appel-Cresswell,0.0546070596070596,0.10416155080147947
31,Helge Rhodin,0.05981721981721981,0.055430626018861305
32,Manu S. Madhav,0.0,0.0
33,Brian Fisher,0.0,0.0
34,Leigh Anne Swayne,0.003791887125220459,0.004098124098124098
35,Craig E. Brown,0.0039057239057239063,0.0030303030303030303
36,Adrienne L. Fairhall,0.0,0.0
37,Eric T. Shea-Brown,0.0,0.03939393939393939
38,Emily Lauren Sylwestrak,0.0,0.0
39,Andy Y. Shih,0.0,0.0
40,Todd Stephen Woodward,0.006434383517716851,0.011980592359380237
41,Jeffrey M. LeDue,0.027812249478916157,0.03601222373058379
42,Ilker Hacihaliloglu,0.0,0.0
43,Anthony Randal McIntosh,0.0,0.0
44,Purang Abolmaesumi,0.0,0.0
45,Vesna Sossi,0.047170668837335505,0.08633751572254246
