,Name,Scopus ID,Document Count,Cited by,Coauthors,Affiliation
0, Z. Jane Wang,11241026700,336,8457,"{' Martin McKeown': 83, ' Helge Rhodin': 2, ' Fidel Vila-Rodriguez': 1, ' Silke Appel-Cresswell': 2, ' Peyman Servati': 1, ' Anthony G. Phillips': 1}",Department of Electrical & Computer Engineering
1, Fidel Vila-Rodriguez,24279161600,161,3786,"{' Sophia Frangou': 5, ' Ian Mackenzie': 1, ' Jason S. Snyder': 2, ' Silke Appel-Cresswell': 1, ' Z. Jane Wang': 1}",The University of British Columbia
2, Sophia Frangou,7004549374,313,20281,"{' Fidel Vila-Rodriguez': 5, ' Liisa A. M. Galea': 1}",Mood Disorders Centre
3, Ian Mackenzie,16407421900,282,42374,"{' Fidel Vila-Rodriguez': 1, ' A. Jon Stoessl': 2, ' Lynn A. Raymond': 2, ' YuTian Wang': 1, ' Shernaz X. Bamji': 1}","University of British Columbia, Faculty of Medicine"
4, Martin McKeown,7005375626,260,10923,"{' Z. Jane Wang': 83, ' A. Jon Stoessl': 16, ' Silke Appel-Cresswell': 14, ' Lara A. Boyd': 2, ' Peyman Servati': 1}",Djavad Mowafaghian Centre for Brain Health
5, Lara A. Boyd,7101895712,217,8953,"{' Liisa A. M. Galea': 1, ' A. Jon Stoessl': 1, ' Silke Appel-Cresswell': 1, ' Martin McKeown': 2, ' Todd Stephen Woodward': 2}",Department of Physical Therapy
6, Liisa A. M. Galea,7004079043,210,14971,"{' Lara A. Boyd': 1, ' Sophia Frangou': 1}",Department of Psychiatry
7, Leonid Sigal,7103067039,128,6500,{' Helge Rhodin': 1},The University of British Columbia
8, P. A. Cripton,6603629883,179,4683,{' Wolfram G. Tetzlaff': 6},School of Biomedical Engineering
9, Fabio Rossi,7401756510,174,13160,{' Wolfram G. Tetzlaff': 1},School of Biomedical Engineering
10, Helge Rhodin,55860139200,52,2297,"{' Timothy H. Murphy': 3, ' Z. Jane Wang': 2, ' Leonid Sigal': 1}",The University of British Columbia
11, Terrance P. Snutch,35408131500,208,20097,"{' Anthony G. Phillips': 3, ' Brian A. MacVicar': 5, ' Shernaz X. Bamji': 1, ' A. Jon Stoessl': 1, ' Timothy H. Murphy': 1}",Michael Smith Laboratories
12, YuTian Wang,8908521300,192,25281,"{' Anthony G. Phillips': 14, ' Jeremy Keith Seamans': 1, ' Timothy H. Murphy': 4, ' Shernaz X. Bamji': 1, ' Brian A. MacVicar': 2, ' Lynn A. Raymond': 2, ' Ian Mackenzie': 1, ' Catharine Rankin': 1}",School of Software
13, A. Jon Stoessl,7004896118,305,21848,"{' Martin McKeown': 16, ' Silke Appel-Cresswell': 14, ' Lara A. Boyd': 1, ' Ian Mackenzie': 2, ' Anthony G. Phillips': 2, ' Terrance P. Snutch': 1}",The University of British Columbia
