Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Language,Citations,Reference,Abstract,DOI,Publication type,Open Access,EID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Author Keyword
"Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease","Appel-Cresswell, S., Vilarino-Guell, C., Encarnacion, M., Sherman, H., Yu, I., Shah, B., Weir, D., Thompson, C., Szu-Tu, C., Trinh, J., Aasly, J.O., Rajput, A., Rajput, A.H., Jon Stoessl, A., Farrer, M.J.",15,36237882900| 55901182300| 55607878200| 55607765800| 56305927300| 57209161083| 14038460100| 57213471104| 55586610300| 54400148400| 7004207163| 18435070000| 7103354925| 7004896118| 35380197600,2013,2013-06-01,Movement Disorders,English,463,"Appel-Cresswell, S., Vilarino-Guell, C., Encarnacion, M. and 12 more (...) (2013).Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease. Movement Disorders,28(6) 811-813",https://www.scopus.com/record/display.url?eid=2-s2.0-84879605541&origin=resultslist,10.1002/mds.25421,Article,,2-s2.0-84879605541,Saskatchewan Health Authority| University of Saskatchewan| University of British Columbia| Norwegian University of Science and Technology,4,60010365| 60010365| 60023052| 60011771| 60011553,"The University of British Columbia| The University of British Columbia| Universitetssykehuset i Trondheim| Saskatchewan Health Authority| University of Saskatchewan, College of Medicine",36237882900,35380197600,36237882900,-,Norway| Canada,A. Jon Stoessl
"Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease","Appel-Cresswell, S., Vilarino-Guell, C., Encarnacion, M., Sherman, H., Yu, I., Shah, B., Weir, D., Thompson, C., Szu-Tu, C., Trinh, J., Aasly, J.O., Rajput, A., Rajput, A.H., Jon Stoessl, A., Farrer, M.J.",15,36237882900| 55901182300| 55607878200| 55607765800| 56305927300| 57209161083| 14038460100| 57213471104| 55586610300| 54400148400| 7004207163| 18435070000| 7103354925| 7004896118| 35380197600,2013,2013-06-01,Movement Disorders,English,463,"Appel-Cresswell, S., Vilarino-Guell, C., Encarnacion, M. and 12 more (...) (2013).Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease. Movement Disorders,28(6) 811-813",https://www.scopus.com/record/display.url?eid=2-s2.0-84879605541&origin=resultslist,10.1002/mds.25421,Article,,2-s2.0-84879605541,Saskatchewan Health Authority| University of Saskatchewan| University of British Columbia| Norwegian University of Science and Technology,4,60010365| 60010365| 60023052| 60011771| 60011553,"The University of British Columbia| The University of British Columbia| Universitetssykehuset i Trondheim| Saskatchewan Health Authority| University of Saskatchewan, College of Medicine",36237882900,35380197600,36237882900,-,Norway| Canada,Silke Appel-Cresswell
Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"Mohajerani, M.H., Chan, A.W., Mohsenvand, M., Ledue, J., Liu, R., McVea, D.A., Boyd, J.D., Wang, Y.T., Reimers, M., Murphy, T.H.",10,6506284490| 55888120500| 55827414200| 56371437500| 56873521600| 8863896000| 55439254100| 8908521300| 6603794781| 7401632487,2013,2013-10-01,Nature Neuroscience,English,254,"Mohajerani, M.H., Chan, A.W., Mohsenvand, M. and 7 more (...) (2013).Spontaneous cortical activity alternates between motifs defined by regional axonal projections. Nature Neuroscience,16(10) 1426-1435",https://www.scopus.com/record/display.url?eid=2-s2.0-84884908532&origin=resultslist,10.1038/nn.3499,Article,Green,2-s2.0-84884908532,University of Lethbridge| Virginia Commonwealth University| University of British Columbia,3,60010365| 60010365| 60083635| 60010365| 60193419| 60002476| 60010365| 60024776,The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| Vancouver Coastal Health Research Institute| Virginia Commonwealth University| The University of British Columbia| University of Lethbridge,6506284490,7401632487,7401632487,-,United States| Canada,YuTian Wang
Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"Mohajerani, M.H., Chan, A.W., Mohsenvand, M., Ledue, J., Liu, R., McVea, D.A., Boyd, J.D., Wang, Y.T., Reimers, M., Murphy, T.H.",10,6506284490| 55888120500| 55827414200| 56371437500| 56873521600| 8863896000| 55439254100| 8908521300| 6603794781| 7401632487,2013,2013-10-01,Nature Neuroscience,English,254,"Mohajerani, M.H., Chan, A.W., Mohsenvand, M. and 7 more (...) (2013).Spontaneous cortical activity alternates between motifs defined by regional axonal projections. Nature Neuroscience,16(10) 1426-1435",https://www.scopus.com/record/display.url?eid=2-s2.0-84884908532&origin=resultslist,10.1038/nn.3499,Article,Green,2-s2.0-84884908532,University of Lethbridge| Virginia Commonwealth University| University of British Columbia,3,60010365| 60010365| 60083635| 60010365| 60193419| 60002476| 60010365| 60024776,The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| Vancouver Coastal Health Research Institute| Virginia Commonwealth University| The University of British Columbia| University of Lethbridge,6506284490,7401632487,7401632487,-,United States| Canada,Timothy H. Murphy
DNAJC13 mutations in Parkinson disease,"Vilariño-Güell, C., Rajput, A., Milnerwood, A.J., Shah, B., Szu-Tu, C., Trinh, J., Yu, I., Encarnacion, M., Munsie, L.N., Tapia, L., Gustavsson, E.K., Chou, P., Tatarnikov, I., Evans, D.M., Pishotta, F.T., Volta, M., Beccano-Kelly, D., Thompson, C., Lin, M.K., Sherman, H.E., Han, H.J., Guenther, B.L., Wasserman, W.W., Bernard, V., Ross, C.J., Appel-Cresswell, S., Stoessl, A.J., Robinson, C.A., Dickson, D.W., Ross, O.A., Wszolek, Z.K., Aasly, J.O., Wu, R.-M., Hentati, F., Gibson, R.A., McPherson, P.S., Girard, M., Rajput, M., Rajput, A.H., Farrer, M.J.",40,55901182300| 18435070000| 14018533400| 57209161083| 55586610300| 54400148400| 56305927300| 55607878200| 24544440800| 7003979375| 55959825700| 56375140200| 56375023700| 57199095539| 57212790085| 25655476600| 14009473700| 57213471104| 56239655100| 55607765800| 56375060900| 56485433900| 7003872826| 57217636954| 56701707700| 36237882900| 7004896118| 7403375588| 35355842400| 7003657600| 7005313394| 7004207163| 7402944843| 35752150500| 35519708900| 7006242854| 7203052104| 7003921303| 7103354925| 35380197600,2014,2014-04-01,Human molecular genetics,English,227,"Vilariño-Güell, C., Rajput, A., Milnerwood, A.J. and 37 more (...) (2014).DNAJC13 mutations in Parkinson disease. Human molecular genetics,23(7) 1794-1801",https://www.scopus.com/record/display.url?eid=2-s2.0-84899737291&origin=resultslist,10.1093/hmg/ddt570,Article,Green,2-s2.0-84899737291,University of British Columbia,1,60010365,The University of British Columbia,55901182300,35380197600,-,-,Canada,A. Jon Stoessl
DNAJC13 mutations in Parkinson disease,"Vilariño-Güell, C., Rajput, A., Milnerwood, A.J., Shah, B., Szu-Tu, C., Trinh, J., Yu, I., Encarnacion, M., Munsie, L.N., Tapia, L., Gustavsson, E.K., Chou, P., Tatarnikov, I., Evans, D.M., Pishotta, F.T., Volta, M., Beccano-Kelly, D., Thompson, C., Lin, M.K., Sherman, H.E., Han, H.J., Guenther, B.L., Wasserman, W.W., Bernard, V., Ross, C.J., Appel-Cresswell, S., Stoessl, A.J., Robinson, C.A., Dickson, D.W., Ross, O.A., Wszolek, Z.K., Aasly, J.O., Wu, R.-M., Hentati, F., Gibson, R.A., McPherson, P.S., Girard, M., Rajput, M., Rajput, A.H., Farrer, M.J.",40,55901182300| 18435070000| 14018533400| 57209161083| 55586610300| 54400148400| 56305927300| 55607878200| 24544440800| 7003979375| 55959825700| 56375140200| 56375023700| 57199095539| 57212790085| 25655476600| 14009473700| 57213471104| 56239655100| 55607765800| 56375060900| 56485433900| 7003872826| 57217636954| 56701707700| 36237882900| 7004896118| 7403375588| 35355842400| 7003657600| 7005313394| 7004207163| 7402944843| 35752150500| 35519708900| 7006242854| 7203052104| 7003921303| 7103354925| 35380197600,2014,2014-04-01,Human molecular genetics,English,227,"Vilariño-Güell, C., Rajput, A., Milnerwood, A.J. and 37 more (...) (2014).DNAJC13 mutations in Parkinson disease. Human molecular genetics,23(7) 1794-1801",https://www.scopus.com/record/display.url?eid=2-s2.0-84899737291&origin=resultslist,10.1093/hmg/ddt570,Article,Green,2-s2.0-84899737291,University of British Columbia,1,60010365,The University of British Columbia,55901182300,35380197600,-,-,Canada,Silke Appel-Cresswell
3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,"Zou, L., Zheng, J., Miao, C., McKeown, M.J., Wang, Z.J.",5,55346583800| 56645279900| 8850060600| 7005375626| 11241026700,2017,2017-10-13,IEEE Access,English,188,"Zou, L., Zheng, J., Miao, C. and 2 more (...) (2017).3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI. IEEE Access,523626-23636",https://www.scopus.com/record/display.url?eid=2-s2.0-85034834146&origin=resultslist,10.1109/ACCESS.2017.2762703,Article,Gold|Green,2-s2.0-85034834146,Queen's University Kingston| Nanyang Technological University| University of British Columbia,3,60010365| 60016005| 60078616| 60005510| 60010365,The University of British Columbia| Queen’s University| School of Computer Science and Engineering| Nanyang Technological University| The University of British Columbia,55346583800,11241026700,56645279900,-,Singapore| Canada,Z. Jane Wang
3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,"Zou, L., Zheng, J., Miao, C., McKeown, M.J., Wang, Z.J.",5,55346583800| 56645279900| 8850060600| 7005375626| 11241026700,2017,2017-10-13,IEEE Access,English,188,"Zou, L., Zheng, J., Miao, C. and 2 more (...) (2017).3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI. IEEE Access,523626-23636",https://www.scopus.com/record/display.url?eid=2-s2.0-85034834146&origin=resultslist,10.1109/ACCESS.2017.2762703,Article,Gold|Green,2-s2.0-85034834146,Queen's University Kingston| Nanyang Technological University| University of British Columbia,3,60010365| 60016005| 60078616| 60005510| 60010365,The University of British Columbia| Queen’s University| School of Computer Science and Engineering| Nanyang Technological University| The University of British Columbia,55346583800,11241026700,56645279900,-,Singapore| Canada,Martin McKeown
The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"Rungta, R.L., Choi, H.B., Tyson, J.R., Malik, A., Dissing-Olesen, L., Lin, P.J.C., Cain, S.M., Cullis, P.R., Snutch, T.P., Macvicar, B.A.",10,36834315600| 7404339320| 7201985950| 55777658200| 8610366300| 8520104500| 16155302300| 7101856304| 35408131500| 7006717711,2015,2015-04-23,Cell,English,151,"Rungta, R.L., Choi, H.B., Tyson, J.R. and 7 more (...) (2015).The cellular mechanisms of neuronal swelling underlying cytotoxic edema. Cell,161(3) 610-621",https://www.scopus.com/record/display.url?eid=2-s2.0-84928392780&origin=resultslist,10.1016/j.cell.2015.03.029,Article,Bronze|Green,2-s2.0-84928392780,University of British Columbia,1,60083635| 60010365| 60010365| 60011393| 60010365,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| Michael Smith Laboratories| The University of British Columbia,36834315600,7006717711,7006717711,-,Canada,Terrance P. Snutch
The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"Rungta, R.L., Choi, H.B., Tyson, J.R., Malik, A., Dissing-Olesen, L., Lin, P.J.C., Cain, S.M., Cullis, P.R., Snutch, T.P., Macvicar, B.A.",10,36834315600| 7404339320| 7201985950| 55777658200| 8610366300| 8520104500| 16155302300| 7101856304| 35408131500| 7006717711,2015,2015-04-23,Cell,English,151,"Rungta, R.L., Choi, H.B., Tyson, J.R. and 7 more (...) (2015).The cellular mechanisms of neuronal swelling underlying cytotoxic edema. Cell,161(3) 610-621",https://www.scopus.com/record/display.url?eid=2-s2.0-84928392780&origin=resultslist,10.1016/j.cell.2015.03.029,Article,Bronze|Green,2-s2.0-84928392780,University of British Columbia,1,60083635| 60010365| 60010365| 60011393| 60010365,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| Michael Smith Laboratories| The University of British Columbia,36834315600,7006717711,7006717711,-,Canada,Brian A. MacVicar
