Authorlist Name|OpenAlex Name|Affiliation|Author ID|ORCID|Research Areas|Warning
Tim H. Murphy|Timothy H. Murphy|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5072258662|0000-0002-0093-4490|['Biology', 'Medicine', 'Psychology', 'Chemistry', 'Physics', 'Computer science', 'Engineering']|
Annie Ciernia|Annie Vogel Ciernia|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5020772658|0000-0002-3406-3806|['Biology', 'Chemistry', 'Medicine', 'Psychology']|
Brian MacVicar|Brian A. MacVicar|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5030192413|0000-0003-4596-4623|['Biology', 'Medicine', 'Psychology', 'Chemistry', 'Physics', 'Materials science']|
Fidel Vila-Rodriguez|Fidel Vila‐Rodriguez|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5048377473|0000-0002-8273-8820|['Psychology', 'Medicine', 'Biology', 'Computer science', 'Economics', 'Mathematics']|
Shernaz Bamji|Shernaz X. Bamji|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5041209867|0000-0003-0102-9297|['Biology', 'Chemistry', 'Medicine', 'Psychology', 'Physics']|
Lara Boyd|Lara A. Boyd|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5088911615|0000-0002-2828-4549|['Medicine', 'Psychology', 'Biology', 'Engineering', 'Physics', 'Computer science']|
Paul Pavlidis|Paul Pavlidis|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5012991069|0000-0002-0426-5028|['Biology', 'Chemistry', 'Medicine', 'Computer science', 'Psychology']|
Martin McKeown|Martin J. McKeown|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5021255536||['Psychology', 'Medicine', 'Biology', 'Computer science', 'Mathematics', 'Physics', 'Engineering']|
A Jon Stoessl|A. Jon Stoessl|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5066908279|0000-0002-9778-7246|['Medicine', 'Biology', 'Psychology', 'Chemistry']|
Peter Cripton|Peter A. Cripton|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5016169891|0000-0002-5067-0833|['Medicine', 'Biology', 'Physics', 'Engineering', 'Psychology', 'Materials science', 'Geology', 'Mathematics', 'Chemistry', 'Geography', 'Computer science']|
Jason Snyder|Jason S. Snyder|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5064689482|0000-0002-5509-0272|['Psychology', 'Biology', 'Medicine', 'Chemistry']|
Wolfram Tetzlaff|Wolfram Tetzlaff|{'id': 'https://openalex.org/I4210128534', 'ror': 'https://ror.org/03ckrg061', 'display_name': 'International Collaboration On Repair Discoveries', 'country_code': 'CA', 'type': 'facility', 'lineage': ['https://openalex.org/I4210128534']}|A5057571775||['Medicine', 'Biology', 'Psychology', 'Chemistry', 'Physics']|
Anthony Phillips|Anthony G. Phillips|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5081137194|0000-0002-4077-5471|['Psychology', 'Biology', 'Medicine', 'Chemistry']|
Catharine Winstanley|Catharine A. Winstanley|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5001597821|0000-0001-7032-4471|['Psychology', 'Biology', 'Medicine', 'Chemistry', 'Economics', 'Engineering', 'Computer science', 'Philosophy']|
Yu Tian Wang|Yu Tian Wang|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5047476496|0000-0001-8592-0698|['Biology', 'Chemistry', 'Medicine', 'Psychology', 'Physics', 'Materials science']|
Jeremy Seamans|Jeremy K. Seamans|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5034121962|0000-0003-0310-1918|['Psychology', 'Biology', 'Medicine', 'Chemistry', 'Computer science', 'Physics']|
Terry Snutch|Terry P. Snutch|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5075369209||['Biology', 'Chemistry', 'Medicine', 'Materials science', 'Psychology', 'Physics']|
Ian Mackenzie|Ian R. Mackenzie|{'id': 'https://openalex.org/I2802832906', 'ror': 'https://ror.org/02zg69r60', 'display_name': 'Vancouver General Hospital', 'country_code': 'CA', 'type': 'healthcare', 'lineage': ['https://openalex.org/I141074466', 'https://openalex.org/I2799475292', 'https://openalex.org/I2802832906']}|A5053377589|0000-0003-3875-2972|['Medicine', 'Biology', 'Psychology', 'Chemistry']|
Lynn Raymond|Lynn A. Raymond|{'id': 'https://openalex.org/I141945490', 'ror': 'https://ror.org/03rmrcq20', 'display_name': 'University of British Columbia', 'country_code': 'CA', 'type': 'education', 'lineage': ['https://openalex.org/I141945490']}|A5020418567|0000-0002-8610-1042|['Medicine', 'Biology', 'Chemistry', 'Psychology']|
