GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared gs coauthors,shared sv coauthors
noveldatadrivenmethodcapturesspatiotemporalpatternsofneurodegenerationinparkinsonsdisease,Novel data-driven method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",agerelateddifferencesinlevodopadynamicsinparkinsonsimplicationsformotorcomplications,Age-related differences in levodopa dynamics in Parkinson's: Implications for motor complications,"['A. Jon Stoessl', 'Vesna Sossi']",informationtheoreticapproachestounderstandingcircuitfunction,Information theoretic approaches to understanding circuit function,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne L. Fairhall', 'Eric T. Shea-Brown']"
seventhannualmeetingmonttremblantskiresortmonttremblantquebecwednesdaymarch21tosaturdaymarch242007accesstospinalcareataleof2citiesdoesthe,"Seventh Annual Meeting, Mont Tremblant Ski Resort, Mont Tremblant, Quebec, Wednesday, March 21 to Saturday March 24, 2007Access to spinal care: a tale of 2 citiesDoes the …","['Peter Cripton', 'Wolfram Tetzlaff']",noisygalvanicvestibularstimulationmodulatestheamplitudeofeegsynchronypatterns,Noisy Galvanic Vestibular Stimulation Modulates the Amplitude of EEG Synchrony Patterns,"['Martin McKeown', 'Z. Jane Wang']",whitematterbiomarkersassociatedwithmotorchangeinindividualswithstrokeacontinuousthetaburststimulationstudy,White matter biomarkers associated with motor change in individuals with stroke: A continuous theta burst stimulation study,"['Lara Boyd', 'Todd S. Woodward']","['Lara A. Boyd', 'Todd Stephen Woodward']"
invivopetstudiesinnormalhumansubjectsshowthatratiosofdattovmat2inthestriatumdecreasewitharostrocaudalgradientandalsowithagingimplicationsforthe,In vivo PET studies in normal human subjects show that ratios of DAT to VMAT2 in the striatum decrease with a rostrocaudal gradient and also with aging: implications for the …,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",removalofmuscleartifactsfromtheeegareviewandrecommendations,Removal of Muscle Artifacts from the EEG: A Review and Recommendations,"['Martin McKeown', 'Z. Jane Wang']",xctcystinetransporterexpressioninhek293cellspharmacologyandlocalization,xCT cystine transporter expression in HEK293 cells: Pharmacology and localization,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
priorexposuretosalientwinpairedcuesinaratgamblingtaskincreasessensitivitytococaineselfadministrationandsuppressesdopamineeffluxinnucleusaccumbens,Prior exposure to salient win-paired cues in a rat gambling task increases sensitivity to cocaine self-administration and suppresses dopamine efflux in nucleus accumbens …,"['Anthony Phillips', 'Catharine A. Winstanley']",hdacinhibitionleadstoagedependentoppositeregenerativeeffectuponptendeletioninrubrospinalaxonsaftersci,HDAC inhibition leads to age-dependent opposite regenerative effect upon PTEN deletion in rubrospinal axons after SCI,"['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']",effectofelectroconvulsivetherapyonbrain5ht2receptorsinmajordepression,Effect of electroconvulsive therapy on brain 5-HT<inf>2</inf> receptors in major depression,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
multitracerpetjointcorrelationanalysisrevealsdiseasespecificpatternsinbothparkinsonsdiseaseandasymptomaticlrrk2mutationcarrierscomparedtohealthycontrols,Multi-tracer PET joint correlation analysis reveals disease-specific patterns in both Parkinson's disease and asymptomatic LRRK2 mutation carriers compared to healthy controls,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",galvanicvestibularstimulationgvsaugmentsdeficientpedunculopontinenucleusppnconnectivityinmildparkinsonsdiseasefmrieffectsofdifferentstimuli,Galvanic Vestibular Stimulation (GVS) Augments Deficient Pedunculopontine Nucleus (PPN) Connectivity in Mild Parkinson's Disease: fMRI Effects of Different Stimuli,"['Martin McKeown', 'Z. Jane Wang']",processingefficiencyofaverbalworkingmemorysystemismodulatedbyamphetamineanfmriinvestigation,Processing efficiency of a verbal working memory system is modulated by amphetamine: An fMRI investigation,"['Anthony Phillips', 'Todd S. Woodward']","['Anthony G. Phillips', 'Todd Stephen Woodward']"
influencesofgenderdepressionanddiseaseseverityonmocasubscoresinparksinonsdisease,"Influences of Gender, Depression and Disease Severity on Moca Subscores in Parksinon's Disease","['Martin J. McKeown', 'Silke Appel-Cresswell']",invivolargescalecorticalmappingusingchannelrhodopsin2stimulationintransgenicmicerevealsasymmetricandreciprocalrelationshipsbetweencorticalareas,In vivo large-scale cortical mapping using channelrhodopsin-2 stimulation in transgenic mice reveals asymmetric and reciprocal relationships between cortical areas,"['Timothy H. Murphy', 'Jeffrey M. LeDue']",enhancedstriatalnr2bcontainingnmethyldaspartatereceptormediatedsynapticcurrentsinamousemodelofhuntingtondisease,Enhanced striatal NR2B-containing N-methyl-D-aspartate receptor-mediated synaptic currents in a mouse model of Huntington disease,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
pbb3imaginginparkinsoniandisordersevidenceforbindingtoabnormallyaggregatedproteinsinadditiontotauproteins,PBB3 Imaging in Parkinsonian disorders: Evidence for binding to abnormally aggregated proteins in addition to tau proteins,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",connectivitybasedparcellationoffunctionalsubregionsfrombrainfmrisignals,Connectivity-based parcellation of functional sub-regions from brain fMRI signals,"['Martin McKeown', 'Z. Jane Wang']",mappingsynapticglutamatetransporterdysfunctioninvivotoregionssurroundingaβplaquesbyiglusnfrtwophotonimaging,Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue']"
effectsofthecapacityofdopaminesequestrationontherateofprogressioninparkinsonsdisease,Effects of the capacity of dopamine sequestration on the rate of progression in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",neurosciencenucleusaccumbenslongtermdepressionandtheexpressionofbehavioralsensitization,Neuroscience: Nucleus accumbens long-term depression and the expression of behavioral sensitization,"['Anthony G. Phillips', 'YuTian Wang']",positronemissiontomographyafterfetaltransplantationinhuntingtonsdisease,Positron emission tomography after fetal transplantation in Huntington's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
specialsectiononlightmicroscopyofconnectivitynetworkanalysisofmesoscaleopticalrecordingstoassessregionalfunctionalconnectivity,"Special Section on Light Microscopy of Connectivity: Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']",removingmuscleartifactsfromeegdatamultichannelorsinglechanneltechniques,Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?,"['Martin McKeown', 'Z. Jane Wang']",measuringdopaminergicfunctioninthe6ohdalesionedratacomparisonofpetandmicrodialysis,Measuring dopaminergic function in the 6-OHDA-lesioned rat: A comparison of PET and microdialysis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
mesoscalecorticalmappingrevealsregionspecificandfrequencydependentchangesinamousemodelofelectroconvulsivetherapy,Mesoscale cortical mapping reveals region-specific and frequency-dependent changes in a mouse model of electroconvulsive therapy,"['Tim H. Murphy', 'Jeffrey LeDue']",parkinsonsdiseasedetectionfromfmriderivedbrainstemregionalfunctionalconnectivitynetworks,Parkinson’s Disease Detection from fMRI-Derived Brainstem Regional Functional Connectivity Networks,"['Martin McKeown', 'Z. Jane Wang']",computationalneurosciencemathematicalandstatisticalperspectives,Computational Neuroscience: Mathematical and Statistical Perspectives,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne L. Fairhall', 'Eric T. Shea-Brown']"
