,Name,Scopus ID,Coauthors
0,Timothy H. Murphy,7401632487,"{'Lynn A. Raymond': 1, 'Helge Rhodin': 1, 'Brian Archibald MacVicar': 1, 'Wolfram G. Tetzlaff': 1, 'Craig E. Brown': 1, 'Andy Y. Shih': 1, 'Terrance P. Snutch': 1}"
1,Annie Vogel-Ciernia,55491054000,{}
2,Brian Archibald MacVicar,7006717711,"{'Silke Appel-Cresswell': 1, 'Terrance P. Snutch': 1, 'Timothy H. Murphy': 1, 'Leigh Anne Swayne': 1, 'Shernaz X. Bamji': 1, 'Anthony G. Phillips': 1}"
3,Fidel Vila-Rodriguez,24279161600,"{'Sophia Frangou': 1, 'Ian R. Mackenzie': 1, 'Jason S. Snyder': 1, 'Silke Appel-Cresswell': 1, 'Z. Jane Wang': 1}"
4,Shernaz X. Bamji,7005627810,"{'Kurt Z. Haas': 1, 'Yutian Wang': 1, 'Lynn A. Raymond': 1, 'Paul Pavlidis': 1, 'Catharine H. Rankin': 1, 'Terrance P. Snutch': 1, 'Anthony G. Phillips': 1, 'Brian Archibald MacVicar': 1, 'Ian R. Mackenzie': 1}"
5,Lara A. Boyd,7101895712,"{'Liisa A.M. Galea': 1, 'Silke Appel-Cresswell': 1, 'A. Jon Stoessl': 1, 'Martin J. McKeown': 1, 'Todd Stephen Woodward': 1}"
6,Paul Pavlidis,7004159655,"{'Kurt Z. Haas': 1, 'Shernaz X. Bamji': 1, 'Catharine H. Rankin': 1}"
7,Martin J. McKeown,7005375626,"{'Z. Jane Wang': 1, 'A. Jon Stoessl': 1, 'Silke Appel-Cresswell': 1, 'Lara A. Boyd': 1, 'Peyman Servati': 1}"
8,A. Jon Stoessl,7004896118,"{'Martin J. McKeown': 1, 'Silke Appel-Cresswell': 1, 'Lara A. Boyd': 1, 'Catharine A. Winstanley': 1, 'Ian R. Mackenzie': 1, 'Anthony G. Phillips': 1, 'Terrance P. Snutch': 1}"
9,P. A. Cripton,6603629883,"{'Catharine A. Winstanley': 1, 'Wolfram G. Tetzlaff': 1}"
10,Jason S. Snyder,28167863900,{'Fidel Vila-Rodriguez': 1}
