,Name,Scopus ID,Coauthors
0,Khaled Abd-Elrahman,36653563400,{}
1,Douglas Allan,7201584872,"{""Timothy O'Connor"": 1, 'Kurt Haas': 1, 'Paul Pavlidis': 1, 'Catharine Rankin': 1, 'Shernaz Bamji': 1, 'Daniel Goldowitz': 1}"
2,Vanessa Auld,7004622834,"{'Catharine Rankin': 1, ""Timothy O'Connor"": 1, 'Jane Roskams': 1, 'Terry Snutch': 1}"
3,Jehannine Austin,7402093250,"{'Evelyn Stewart': 1, 'Liisa Galea': 1, 'Erin Michalak': 1, 'Steven Barnes': 1, 'Alasdair Barr': 1, 'Donna Lang': 1}"
4,Shelina Babul,6506673405,"{'Paul van Donkelaar': 1, 'Manon Ranger': 1, 'Noah Silverberg': 1, 'William Panenka': 1, 'Lara Boyd': 1, 'Naznin Virji-Babul': 1, 'Peter Cripton': 1}"
5,Shernaz Bamji,7005627810,"{'Kurt Haas': 1, 'Ann-Marie Craig': 1, 'Yu Tian Wang': 1, 'Lynn Raymond': 1, 'Douglas Allan': 1, 'Paul Pavlidis': 1, 'Catharine Rankin': 1, 'Terry Snutch': 1, 'Anthony Phillips': 1, 'Brian MacVicar': 1, 'Charles Krieger': 1, 'Ian Mackenzie': 1, 'Max Cynader': 1, 'Hakima Moukhles': 1, ""Timothy O'Connor"": 1, 'Freda Miller': 1, 'Phil Barker': 1}"
6,Phil Barker,7402080727,"{'Julien Gibon': 1, 'Freda Miller': 1, 'Shernaz Bamji': 1, 'Neil Cashman': 1}"
7,Steven Barnes,57020811700,"{'Erin Michalak': 1, 'Jehannine Austin': 1, 'Anthony Phillips': 1, 'Stan Floresco': 1}"
8,Alasdair Barr,35474239200,"{'Donna Lang': 1, 'William Panenka': 1, 'Fidel Vila-Rodriguez': 1, 'Alexander Rauscher': 1, 'Thalia Field': 1, 'Evelyn Stewart': 1, 'Noah Silverberg': 1, 'Clare Beasley': 1, 'Weihong Song': 1, 'Todd Woodward': 1, 'Liisa Galea': 1, 'Jehannine Austin': 1, 'Anthony Phillips': 1, 'Blair Leavitt': 1, ""Timothy O'Connor"": 1}"
9,Jason Barton,57026954300,{}
10,Clare Beasley,7102979717,"{'Evelyn Stewart': 1, 'Alasdair Barr': 1, 'Donna Lang': 1, 'Fidel Vila-Rodriguez': 1, 'Weihong Song': 1, 'Liisa Galea': 1, 'Lakshmi Yatham': 1, 'Cheryl Wellington': 1}"
11,Lara Boyd,7101895712,"{'Doris Doudet': 1, 'Noah Silverberg': 1, 'Janet Werker': 1, 'Teresa Liu-Ambrose': 1, 'Liisa Galea': 1, 'Robin Hsiung': 1, ""Ryan D'Arcy"": 1, 'Sarah Kraeutner': 1, 'John Kramer': 1, 'Cornelia Laule': 1, 'Shannon Kolind': 1, 'Roger Tam': 1, 'Shelina Babul': 1, 'Silke Cresswell': 1, 'Martin McKeown': 1, 'Vesna Sossi': 1, 'Jon Stoessl': 1, 'Donna Lang': 1, 'Alexander Rauscher': 1, 'Todd Woodward': 1, 'Naznin Virji-Babul': 1, 'Paul van Donkelaar': 1, 'Sherri Hayden': 1, 'Blair Leavitt': 1}"
12,Neil Cashman,16169124200,"{'Robin Hsiung': 1, 'Blair Leavitt': 1, 'Charles Krieger': 1, 'Cheryl Wellington': 1, 'Ian Mackenzie': 1, 'John Kramer': 1, 'Peter Cripton': 1, 'Cornelia Laule': 1, 'Shannon Kolind': 1, 'Roger Tam': 1, 'Alexander Rauscher': 1, 'Piotr Kozlowski': 1, 'Helen Tremlett': 1, 'Phil Barker': 1}"
13,Mark Cembrowski,37036981000,{}
14,Trisha Chakrabarty,56521302100,"{'Sophia Frangou': 1, 'Lakshmi Yatham': 1, 'Kamyar Keramatian': 1, 'Rebecca Todd': 1, 'Luke Clark': 1, 'Stan Floresco': 1, 'Fidel Vila-Rodriguez': 1, 'Erin Michalak': 1, 'Raymond Lam': 1, 'Daniel Vigo': 1, 'Robin Hsiung': 1}"
15,Annie Ciernia,55491054000,{}
16,Luke Clark,56009858300,"{'Catharine Winstanley': 1, 'Rebecca Todd': 1, 'Trisha Chakrabarty': 1, 'Stan Floresco': 1, 'Miriam Spering': 1, 'Jon Stoessl': 1, 'Christian Schütz': 1, 'Sophia Frangou': 1}"
17,Ann-Marie Craig,7201507943,"{'Yu Tian Wang': 1, 'Shernaz Bamji': 1, 'Paul Pavlidis': 1, 'Michael Gordon': 1, 'Tim Murphy': 1, 'Robert Molday': 1, 'Lynn Raymond': 1, 'Max Cynader': 1, 'Haakon Nygaard': 1}"
