Title,Authors
Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Multiscale imaging informs translational mouse modeling of neurological disease,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
"Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","['Helge Rhodin', 'Helge Rhodin', 'Timothy H. Murphy', 'Timothy H. Murphy', 'Helge Rhodin', 'Helge Rhodin', 'Timothy H. Murphy', 'Timothy H. Murphy']"
Altered cortical processing of sensory input in Huntington disease mouse models,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,"['Jeffrey M. LeDue', 'Helge Rhodin', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'Helge Rhodin', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Helge Rhodin', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'Helge Rhodin', 'Timothy H. Murphy']"
Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,"['Brian A. MacVicar', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'Brian A. MacVicar', 'Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'Brian A. MacVicar', 'Timothy H. Murphy']"
PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Stress impacts sensory variability through cortical sensory activity motifs,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Peripheral Nerve Ligation Elicits Widespread Alterations in Cortical Sensory Evoked and Spontaneous Activity,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
"Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"['Brian A. MacVicar', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'Brian A. MacVicar', 'Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'Brian A. MacVicar', 'Timothy H. Murphy']"
Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2,"['YuTian Wang', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy']"
High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice,"['Wolfram G. Tetzlaff', 'Timothy H. Murphy', 'Wolfram G. Tetzlaff', 'Timothy H. Murphy']"
Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
"Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
