,Name,Scopus ID,Document Count,Cited by,Coauthors,Affiliation,SMS Coauthors
0,Timothy H. Murphy,7401632487,185,14731,"{'Lynn A. Raymond': 17, 'Jeffrey M. LeDue': 25, 'Helge Rhodin': 3, 'Brian A. MacVicar': 2, 'YuTian Wang': 4, 'Wolfram G. Tetzlaff': 2, 'Craig E. Brown': 6, 'Andy Y. Shih': 9, 'Terrance P. Snutch': 1}",Kinsmen Laboratory of Neurological Research,"{'Lynn A. Raymond': 17, 'Jeffrey M. LeDue': 25, 'Helge Rhodin': 5, 'Brian A. MacVicar': 2, 'YuTian Wang': 4, 'Wolfram G. Tetzlaff': 2, 'Craig E. Brown': 6, 'Andy Y. Shih': 9, 'Terrance P. Snutch': 1}"
1,Annie Vogel Ciernia,55491054000,28,1365,{},Djavad Mowafaghian Centre for Brain Health,{}
2,Brian A. MacVicar,7006717711,167,15459,"{'Jeffrey M. LeDue': 10, 'Silke Appel-Cresswell': 1, 'Terrance P. Snutch': 5, 'Timothy H. Murphy': 2, 'Leigh Anne Swayne': 1, 'Shernaz X. Bamji': 1, 'YuTian Wang': 2, 'Anthony G. Phillips': 1}",Djavad Mowafaghian Centre for Brain Health,"{'Timothy H. Murphy': 2, 'Jeffrey M. LeDue': 10, 'Silke Appel-Cresswell': 1, 'Terrance P. Snutch': 5, 'Leigh Anne Swayne': 1, 'Shernaz X. Bamji': 1, 'YuTian Wang': 2, 'Anthony G. Phillips': 1}"
3,Fidel Vila-Rodriguez,24279161600,161,3786,"{'Sophia Frangou': 5, 'Ian Mackenzie': 1, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Z. Jane Wang': 1}",The University of British Columbia,"{'Sophia Frangou': 5, 'Ian Mackenzie': 1, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Z. Jane Wang': 1}"
4,Shernaz X. Bamji,7005627810,44,3569,"{'Kurt Haas': 3, 'Lynn A. Raymond': 2, 'Catharine Rankin': 1, 'Paul Pavlidis': 1, 'Terrance P. Snutch': 1, 'Anthony G. Phillips': 1, 'YuTian Wang': 1, 'Brian A. MacVicar': 1, 'Ian Mackenzie': 1}",Department of Cellular and Physiological Sciences,"{'Brian A. MacVicar': 1, 'YuTian Wang': 1, 'Kurt Haas': 3, 'Lynn A. Raymond': 2, 'Paul Pavlidis': 1, 'Catharine Rankin': 1, 'Terrance P. Snutch': 1, 'Anthony G. Phillips': 1, 'Ian Mackenzie': 1}"
5,Lara A. Boyd,7101895712,217,8953,"{'Liisa A. M. Galea': 1, 'A. Jon Stoessl': 1, 'Martin McKeown': 2, 'Silke Appel-Cresswell': 1, 'Vesna Sossi': 1, 'Todd Stephen Woodward': 2}",Department of Physical Therapy,"{'Liisa A. M. Galea': 1, 'Martin McKeown': 2, 'A. Jon Stoessl': 1, 'Silke Appel-Cresswell': 1, 'Vesna Sossi': 1, 'Todd Stephen Woodward': 2}"
6,Paul Pavlidis,7004159655,158,11957,"{'Jeffrey M. LeDue': 1, 'Kurt Haas': 3, 'Shernaz X. Bamji': 1, 'Catharine Rankin': 3}",Michael Smith Laboratories,"{'Shernaz X. Bamji': 1, 'Kurt Haas': 3, 'Catharine Rankin': 3, 'Jeffrey M. LeDue': 1}"
7,Martin McKeown,7005375626,260,10923,"{'Z. Jane Wang': 83, 'Vesna Sossi': 11, 'A. Jon Stoessl': 16, 'Silke Appel-Cresswell': 14, 'Lara A. Boyd': 2, 'Peyman Servati': 1}",Djavad Mowafaghian Centre for Brain Health,"{'Lara A. Boyd': 2, 'A. Jon Stoessl': 16, 'Silke Appel-Cresswell': 14, 'Vesna Sossi': 11, 'Z. Jane Wang': 85, 'Peyman Servati': 1}"
8,A. Jon Stoessl,7004896118,305,21848,"{'Vesna Sossi': 73, 'Martin McKeown': 16, 'Silke Appel-Cresswell': 14, 'Lara A. Boyd': 1, 'Ian Mackenzie': 2, 'Anthony G. Phillips': 2, 'Terrance P. Snutch': 1}",The University of British Columbia,"{'Lara A. Boyd': 1, 'Martin McKeown': 16, 'Silke Appel-Cresswell': 14, 'Vesna Sossi': 73, 'Ian Mackenzie': 2, 'Anthony G. Phillips': 2, 'Terrance P. Snutch': 1}"
9,P. A. Cripton,6603629883,179,4683,{'Wolfram G. Tetzlaff': 6},School of Biomedical Engineering,{'Wolfram G. Tetzlaff': 6}
